sku,catalog_desc,id_product,similar_desc,elastic_score,normalized_score,preco_medio,categoria,marca,cor,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,22246300,ARMARIO MULTIUSO 2 PORTAS XANGAI GENIALFLEX BRANCO,14.05138,100.0,228.59,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,GENIALFLEX,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,46482328,ARMARIO MULTIUSO XANGAI 2 PORTAS GENIAL BRANCO,14.05138,100.0,184.51,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,93454510,ARMARIO GENIAL MULTIUSO XANGAI 2 PORTAS BRANCO SV,13.909082,98.98730231479043,108.62,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,126054090,ARMARIO MULTIUSO CASAL XANGAI C 2 PORTAS BRANCO GENIALFLEX,13.778773,98.05992720999646,300.02,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,GENIALFLEX,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,73752534,ARMARIO MULTIUSO LINO 2 PT BRANCO,13.629814,96.99982492822768,245.18,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,132487072,ARMARIO MULTIUSO MASON 2 PT BRANCO,13.629814,96.99982492822768,362.96,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,MASON,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,71982654,ARMARIO MULTIUSO PANTO 2 PT BRANCO,13.629814,96.99982492822768,330.1,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,444172,ARMARIO MULTIUSO VIENA 2 PT BRANCO,13.629814,96.99982492822768,169.9,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,104724018,ARMARIO BANCADA MULTIUSO HERVAL 2 PT BRANCO,13.500361,96.078541751771,289.28,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,HERVAL,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,126154517,ARMARIO AEREO MULTIUSO MATHEW 2 PT BRANCO,13.500361,96.078541751771,118.41,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE995CL54TINMOB-948054,ARMARIO MULTIUSO XANGAI 2 PT PRETO,96869350, ARMARIO MULTIUSO XANGAI 2 PT PRETO,15.959444,100.0,131.48,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,PRETO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE995CL54TINMOB-948054,ARMARIO MULTIUSO XANGAI 2 PT PRETO,73476332,ARMARIO MULTIUSO XANGAI 2 PT PRETO,15.959444,100.0,195.44,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,PRETO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE995CL54TINMOB-948054,ARMARIO MULTIUSO XANGAI 2 PT PRETO,74253741,ARMARIO MULTIUSO 2 PORTAS XANGAI GENIALFLEX PRETO,15.194322,95.20583549151212,169.62,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,PRETO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE995CL54TINMOB-948054,ARMARIO MULTIUSO XANGAI 2 PT PRETO,108875519,ARMARIO MULTIUSO CASAL XANGAI C 2 PORTAS PRETO GENIALFLEX,14.874257,93.20034582658394,282.96,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,GENIALFLEX,PRETO,NAO INFORMADO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
