sku,catalog_desc,id_product,similar_desc,elastic_score,normalized_score,preco_medio,categoria,marca,cor,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,66989102,GUARDA ROUPA CASAL 6 PORTAS EM MDP 180CM PARIS ESPRESSO MOVEIS,11.041794,100.0,695.59,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,ESPRESSO,180CM,NAO INFORMADO,6,NAO INFORMADO,MDP,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,75236587,GUARDA ROUPA CASAL 6 PORTAS EM MDP 180CM PARIS ESPRESSO MOVEIS PRETO,11.041794,100.0,501.28,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,PRETO,180CM,NAO INFORMADO,6,NAO INFORMADO,MDP,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,103125338,GUARDA ROUPA CASAL 6 PORTAS EM MDP 180CM PARIS ESPRESSO MOVEIS PRETO ESPRESSO MOVEIS,11.041794,100.0,756.91,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,PRETO ESPRESSO,180CM,NAO INFORMADO,6,NAO INFORMADO,MDP,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,66154686,GUARDA ROUPA CLOSET BARCELONA 2 GAVETAS DEMOLICAO PRETO ARTEFAMOL MDP,11.041794,100.0,672.39,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,ARTEFAMOL,PRETO,NAO INFORMADO,2,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,85572043,PRATELEIRA COM SUPORTE SOFT 150X30CM BRANCO PRATEFIX,9.661042,87.49522043247683,80.97,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,150CM X 130CM,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,64824827,PRATELEIRA PRATEFIX SOFT 45X60 CM BRANCO,9.661042,87.49522043247683,38.35,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,45CM X 60CM,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,74982396,GUARDA ROUPA SOLTEIRO IMOLA 2 PT 2 GV BRANCO,9.652055,87.413829672968,650.76,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,2,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,94380277,GUARDA ROUPA SOLTEIRO AYLA 2 PT 2 GV BRANCO,9.652055,87.413829672968,612.14,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,2,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,113341629,GUARDA ROUPA SOLTEIRO LYNX 2 PT 2 GV BRANCO,9.652055,87.413829672968,524.65,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,2,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
GE238CL72HRVMOB-545758,ARMARIO MULTIUSO XANGAI 2 PT BRANCA,81074578,GUARDA ROUPA CASAL BELLUNO 2 PT 3 GV BRANCO,9.652055,87.413829672968,1487.32,ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV,NAO INFORMADO,BRANCO,NAO INFORMADO,3,2,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
