sku;catalog_desc;id_product;similar_desc;elastic_score;normalize_score;preco_medio;categoria;marca;cor;atributo_1;atributo_2;atributo_3;atributo_4;atributo_5;atributo_6
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;96869350; ARMARIO MULTIUSO XANGAI 2 PT PRETO;33.345524;100.0;131.48;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;73476332;ARMARIO MULTIUSO XANGAI 2 PT PRETO;33.345524;100.0;195.44;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;22246300;ARMARIO MULTIUSO 2 PORTAS XANGAI GENIALFLEX BRANCO;32.37007;90.12476392068214;228.59;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;BRANCO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;100896097;ARMARIO SAPATEIRA SOLTEIRO XANGAI C 2 PORTAS PRETO GENIALFLEX;31.659845;88.14735514598483;319.48;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;104724169;ARMARIO SAPATEIRA QUARTO XANGAI C 2 PORTAS PRETO GENIALFLEX;31.659845;88.14735514598483;262.06;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;110231375;ARMARIO SAPATEIRA CASAL XANGAI C 2 PORTAS PRETO GENIALFLEX;31.659845;88.14735514598483;244.79;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;126054090;ARMARIO MULTIUSO CASAL XANGAI C 2 PORTAS BRANCO GENIALFLEX;31.007034;86.32979845673997;300.02;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;GENIALFLEX;BRANCO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
GE995CL54TINMOB-948054;ARMARIO MULTIUSO XANGAI 2 PT PRETO;74253741;ARMARIO MULTIUSO 2 PORTAS XANGAI GENIALFLEX PRETO;29.519909;82.18934434139376;169.62;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;PRETO;NAO INFORMADO;NAO INFORMADO;2;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;63201865;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;38.44902;100.0;209.13;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;108210790;BALCAO DE COZINHA 3 PORTAS E 1 GAVETA COM TAMPO DAMA AMENDOLA BRANCO DEMOBILE;37.276943;96.95160760924468;333.17;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCO;NAO INFORMADO;1;3;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
